"PK","alias","carretera","codEle","estado","lat","lng","sentido","tipo"
431,"N-VI Pk 431.0 D","N-VI","1040",1,42.722137451171875,-7.014468669891357,"DEC","Camara"
259.93,"N-I Pk 259.93 D","N-I","79",1,42.44329833984375,-3.490600109100342,"DEC","Camara"
10.73,"MA-20 Pk 10.73 C","MA-20","228",1,36.73139953613281,-4.4540300369262695,"CRE","Camara"
20.7,"M-607 Pk 20.7 C","M-607","1023",1,40.579158782958984,-3.705430746078491,"CRE","Camara"
31.5,"AP-9F Pk 31.5 C","AP-9F","1300",1,43.49528503417969,-8.159041404724121,"CRE","Camara"
149,"AP-9 Pk 149.0 C","AP-9","568",1,42.276466369628906,-8.666123390197754,"CRE","Camara"
130.29,"AP-9 Pk 130.29 C","AP-9","1272",1,42.43130874633789,-8.655940055847168,"CRE","Camara"
119.4,"AP-9 Pk 119.4 D","AP-9","1270",1,42.5182991027832,-8.664517402648926,"DEC","Camara"
93.28,"AP-9 Pk 93.28 D","AP-9","1266",1,42.7337532043457,-8.637261390686035,"DEC","Camara"
74.95,"AP-9 Pk 74.95 C","AP-9","1265",1,42.856407165527344,-8.565667152404785,"CRE","Camara"
67.3,"AP-9 Pk 67.3 D","AP-9","591",1,42.88882827758789,-8.50448989868164,"DEC","Camara"
41.44,"AP-9 Pk 41.44 C","AP-9","1294",1,43.08191680908203,-8.3570556640625,"CRE","Camara"
12.9,"AP-9 Pk 12.9 D","AP-9","1290",1,43.29257583618164,-8.297083854675293,"DEC","Camara"
3.8,"AC-12 Pk 3.8 ","AC-12","475",1,43.33158874511719,-8.385457992553711,,"Camara"
1.28,"AC-11 Pk 1.28 C","AC-11","472",1,43.34260177612305,-8.40900993347168,"CRE","Camara"
13.7,"A-92M Pk 13.7 C","A-92M","261",1,37.043800354003906,-4.380420207977295,"CRE","Camara"
3.67,"A-92M Pk 3.67 C","A-92M","263",1,37.10530090332031,-4.312089920043945,"CRE","Camara"
578.5,"A-8 Pk 578.5 C","A-8","1191",1,43.30109786987305,-7.701525688171387,"CRE","Camara"
246.4,"A-7 Pk 246.4 C","A-7","235",1,36.72850036621094,-4.363480091094971,"CRE","Camara"
242.275,"A-7 Pk 242.275 C","A-7","231",1,36.75579833984375,-4.418099880218506,"CRE","Camara"
214.5,"A-7 Pk 214.5 D","A-7","214",1,36.57740020751953,-4.613039970397949,"DEC","Camara"
210,"A-7 Pk 210.0 D","A-7","212",1,36.54679870605469,-4.632140159606934,"DEC","Camara"
160.7,"A-7 Pk 160.7 D","A-7","238",1,36.44559860229492,-5.0953497886657715,"DEC","Camara"
151.5,"A-7 Pk 151.5 C","A-7","195",1,36.414398193359375,-5.1805100440979,"CRE","Camara"
143,"A-66 Pk 143.0 D","A-66","1256",1,42.56880187988281,-5.652900218963623,"DEC","Camara"
125.05,"A-62 Pk 125.05 D","A-62","10",1,41.6609992980957,-4.760000228881836,"DEC","Camara"
96.3,"A-62 Pk 96.3 D","A-62","5",1,41.856300354003906,-4.553100109100342,"DEC","Camara"
78.5,"A-62 Pk 78.5 D","A-62","3",1,41.98109817504883,-4.434800148010254,"DEC","Camara"
57.9,"A-62 Pk 57.9 D","A-62","2",1,42.06760025024414,-4.222700119018555,"DEC","Camara"
15.78,"A-62 Pk 15.78 D","A-62","89",1,42.29970169067383,-3.835400104522705,"DEC","Camara"
593,"A-6 Pk 593.0 D","A-6","1204",1,43.306396484375,-8.475019454956055,"DEC","Camara"
565,"A-6 Pk 565.0 D","A-6","1198",1,43.25999450683594,-8.200915336608887,"DEC","Camara"
522,"A-6 Pk 522.0 C","A-6","533",1,43.17835998535156,-7.743174076080322,"CRE","Camara"
500,"A-6 Pk 500.0 D","A-6","546",1,43.058189392089844,-7.560049533843994,"DEC","Camara"
488.1,"A-6 Pk 488.1 D","A-6","555",1,42.96842956542969,-7.494531631469727,"DEC","Camara"
268.37,"A-6 Pk 268.37 C","A-6","28",1,42.058101654052734,-5.680600166320801,"CRE","Camara"
212.75,"A-6 Pk 212.75 C","A-6","24",1,41.70429992675781,-5.228899955749512,"CRE","Camara"
179.1,"A-6 Pk 179.1 C","A-6","21",1,41.48059844970703,-4.990300178527832,"CRE","Camara"
156.2,"A-6 Pk 156.2 D","A-6","19",1,41.29399871826172,-4.901700019836426,"DEC","Camara"
126.68,"A-6 Pk 126.68 D","A-6","18",1,41.070899963378906,-4.714399814605713,"DEC","Camara"
39.1,"A-6 Pk 39.1 C","A-6","898",1,40.634273529052734,-4.002861976623535,"CRE","Camara"
21.8,"A-6 Pk 21.8 D","A-6","894",1,40.52162551879883,-3.8868350982666016,"DEC","Camara"
30.38,"A-55 Pk 30.38 C","A-55","567",1,42.04032897949219,-8.660164833068848,"CRE","Camara"
14.1,"A-55 Pk 14.1 D","A-55","566",1,42.17085266113281,-8.622575759887695,"DEC","Camara"
8,"A-55 Pk 8.0 D","A-55","564",1,42.2109489440918,-8.661049842834473,"DEC","Camara"
277.67,"A-52 Pk 277.67 D","A-52","1166",1,42.18143844604492,-8.328892707824707,"DEC","Camara"
239.1,"A-52 Pk 239.1 C","A-52","557",1,42.340843200683594,-7.9946465492248535,"CRE","Camara"
229.4,"A-52 Pk 229.4 C","A-52","1185",1,42.34746551513672,-7.889492511749268,"CRE","Camara"
207.8,"A-52 Pk 207.8 C","A-52","1184",1,42.200286865234375,-7.78405237197876,"CRE","Camara"
159.75,"A-52 Pk 159.75 D","A-52","559",1,41.91035461425781,-7.4315900802612305,"DEC","Camara"
123.7,"A-52 Pk 123.7 C","A-52","1180",1,42.055118560791016,-7.101836204528809,"CRE","Camara"
379.9,"A-5 Pk 379.9 C","A-5","806",1,38.86555480957031,-6.756258964538574,"CRE","Camara"
365.5,"A-5 Pk 365.5 C","A-5","804",1,38.85527038574219,-6.6080641746521,"CRE","Camara"
332.7,"A-5 Pk 332.7 C","A-5","784",1,38.94781494140625,-6.266693115234375,"CRE","Camara"
294.5,"A-5 Pk 294.5 D","A-5","855",1,39.13539123535156,-5.944738864898682,"DEC","Camara"
219.1,"A-5 Pk 219.1 C","A-5","817",1,39.687503814697266,-5.7178168296813965,"CRE","Camara"
184.8,"A-5 Pk 184.8 C","A-5","813",1,39.87163162231445,-5.5823869705200195,"CRE","Camara"
178.1,"A-5 Pk 178.1 C","A-5","816",1,39.89014434814453,-5.5129008293151855,"CRE","Camara"
148,"A-5 Pk 148.0 D","A-5","848",1,39.924530029296875,-5.183938026428223,"DEC","Camara"
123,"A-5 Pk 123.0 D","A-5","836",1,39.960872650146484,-4.903501033782959,"DEC","Camara"
86.5,"A-5 Pk 86.5 C","A-5","835",1,40.02149200439453,-4.503450870513916,"CRE","Camara"
58.1,"A-5 Pk 58.1 C","A-5","800",1,40.12565612792969,-4.2267560958862305,"CRE","Camara"
37.5,"A-5 Pk 37.5 C","A-5","803",1,40.246280670166016,-4.057952880859375,"CRE","Camara"
18.8,"A-5 Pk 18.8 C","A-5","843",1,40.333866119384766,-3.885809898376465,"CRE","Camara"
111.6,"A-45 Pk 111.6 D","A-45","255",1,36.98569869995117,-4.463180065155029,"DEC","Camara"
41,"A-42 Pk 41.0 D","A-42","776",1,40.082054138183594,-3.861557960510254,"DEC","Camara"
399.1,"A-4 Pk 399.1 C","A-4","421",1,37.889957427978516,-4.744908332824707,"CRE","Camara"
258.8,"A-4 Pk 258.8 D","A-4","756",1,38.332027435302734,-3.5423715114593506,"DEC","Camara"
170.5,"A-4 Pk 170.5 C","A-4","750",1,39.02801513671875,-3.374113082885742,"CRE","Camara"
119.5,"A-4 Pk 119.5 D","A-4","739",1,39.46342468261719,-3.5174405574798584,"DEC","Camara"
60.55,"A-4 Pk 60.55 C","A-4","740",1,39.951534271240234,-3.5172481536865234,"CRE","Camara"
35.9,"A-4 Pk 35.9 D","A-4","1112",1,40.11051559448242,-3.648869276046753,"DEC","Camara"
119.2,"A-3 Pk 119.2 C","A-3","700",1,39.87749481201172,-2.633604049682617,"CRE","Camara"
72.5,"A-3 Pk 72.5 C","A-3","684",1,40.059608459472656,-3.07538104057312,"CRE","Camara"
37.7,"A-3 Pk 37.7 C","A-3","723",1,40.24905776977539,-3.3509271144866943,"CRE","Camara"
18.2,"A-3 Pk 18.2 D","A-3","710",1,40.334388732910156,-3.5304760932922363,"DEC","Camara"
105.6,"A-231 Pk 105.6 D","A-231","32",1,42.40420150756836,-4.389100074768066,"DEC","Camara"
124.8,"A-2 Pk 124.8 D","A-2","1120",1,41.01534652709961,-2.5508792400360107,"DEC","Camara"
78,"A-2 Pk 78.0 C","A-2","627",1,40.776275634765625,-2.9909045696258545,"CRE","Camara"
45.8,"A-2 Pk 45.8 C","A-2","680",1,40.580718994140625,-3.235128164291382,"CRE","Camara"
93.4,"A-1 Pk 93.4 D","A-1","622",1,41.141685485839844,-3.5814759731292725,"DEC","Camara"
34,"A-1 Pk 34.0 D","A-1","611",1,40.673065185546875,-3.6116058826446533,"DEC","Camara"
18.7,"A-1 Pk 18.7 C","A-1","602",1,40.5463752746582,-3.6077139377593994,"CRE","Camara"